Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description
入学式,04/06/2022,,04/06/2022,,True,"開催月日: 令和4年4月6日(水)
備考: 入学式"
(情)学院教授会,04/07/2022,13:30,04/07/2022,16:30,False,"開催月日: 4月7日(木)
時間: 13:30
会議名: (情)学院教授会
主な審議事項: 年度計画の実施状況"
(情)研究院教授会,04/07/2022,13:30,04/07/2022,16:30,False,"開催月日: 4月7日(木)
時間: 引き続き
会議名: (情)研究院教授会
主な審議事項: 年度計画の実施状況"
(情)コース長会議,04/07/2022,13:30,04/07/2022,16:30,False,"開催月日: 4月7日(木)
時間: 引き続き
会議名: (情)コース長会議
主な審議事項: 学位論文受理(課程6月・論博9月学位授与予定)"
(情)部門長会議,04/07/2022,13:30,04/07/2022,16:30,False,"開催月日: 4月7日(木)
時間: 引き続き
会議名: (情)部門長会議"
(工)学部代議員会,04/08/2022,13:30,04/08/2022,16:30,False,"開催月日: 4月8日(金)
時間: 13:30
会議名: (工)学部代議員会"
(工)研究院代議員会,04/08/2022,13:30,04/08/2022,16:30,False,"開催月日: 4月8日(金)
時間: 引き続き
会議名: (工)研究院代議員会"
(工)学院代議員会,04/08/2022,13:30,04/08/2022,16:30,False,"開催月日: 4月8日(金)
時間: 引き続き
会議名: (工)学院代議員会
主な審議事項: 学位論文受理(課程6月・論博9月学位授与予定)"
(化)代議員会議,04/13/2022,15:00,04/13/2022,18:00,False,"開催月日: 4月13日(水)
時間: 15:00
会議名: (化)代議員会議
主な審議事項: 学位論文受理(課程6月)"
(化)教授会,05/11/2022,15:00,05/11/2022,18:00,False,"開催月日: 5月11日(水)
時間: 15:00
会議名: (化)教授会"
(化)代議員会議,05/11/2022,15:00,05/11/2022,18:00,False,"開催月日: 5月11日(水)
時間: 引き続き
会議名: (化)代議員会議
主な審議事項: DC1年(4月入学)主任指導教員・副指導教員決定MC2年(4月入学)副指導教員決定"
(情)コース長会議,05/12/2022,13:30,05/12/2022,16:30,False,"開催月日: 5月12日(木)
時間: 13:30
会議名: (情)コース長会議"
(情)部門長会議,05/12/2022,13:30,05/12/2022,16:30,False,"開催月日: 5月12日(木)
時間: 引き続き
会議名: (情)部門長会議
備考: 　"
(工)学部代議員会,05/13/2022,13:30,05/13/2022,16:30,False,"開催月日: 5月13日(金)
時間: 13:30
会議名: (工)学部代議員会"
(工)研究院代議員会,05/13/2022,13:30,05/13/2022,16:30,False,"開催月日: 5月13日(金)
時間: 引き続き
会議名: (工)研究院代議員会"
(工)学院代議員会,05/13/2022,13:30,05/13/2022,16:30,False,"開催月日: 5月13日(金)
時間: 引き続き
会議名: (工)学院代議員会"
(情)学院教授会,06/02/2022,13:30,06/02/2022,16:30,False,"開催月日: 6月2日(木)
時間: 13:30
会議名: (情)学院教授会
主な審議事項: 年度計画"
(情)研究院教授会,06/02/2022,13:30,06/02/2022,16:30,False,"開催月日: 6月2日(木)
時間: 引き続き
会議名: (情)研究院教授会
主な審議事項: 年度計画"
(情)コース長会議,06/02/2022,13:30,06/02/2022,16:30,False,"開催月日: 6月2日(木)
時間: 引き続き
会議名: (情)コース長会議
主な審議事項: 学位論文審査，課程修了判定"
(情)部門長会議,06/02/2022,13:30,06/02/2022,16:30,False,"開催月日: 6月2日(木)
時間: 引き続き
会議名: (情)部門長会議"
(工)学部教授会,06/03/2022,10:30,06/03/2022,13:30,False,"開催月日: 6月3日(金)
時間: 10:30
会議名: (工)学部教授会
主な審議事項: 年度計画
備考: 大学祭(6/3-5)"
(工)研究院教授会,06/03/2022,10:30,06/03/2022,13:30,False,"開催月日: 6月3日(金)
時間: 引き続き
会議名: (工)研究院教授会
主な審議事項: 年度計画"
(工)学院教授会,06/03/2022,10:30,06/03/2022,13:30,False,"開催月日: 6月3日(金)
時間: 引き続き
会議名: (工)学院教授会
主な審議事項: 年度計画"
(工)学部代議員会,06/03/2022,13:30,06/03/2022,16:30,False,"開催月日: 6月3日(金)
時間: 13:30
会議名: (工)学部代議員会
主な審議事項: 卒業者判定"
(工)研究院代議員会,06/03/2022,13:30,06/03/2022,16:30,False,"開催月日: 6月3日(金)
時間: 引き続き
会議名: (工)研究院代議員会"
(工)学院代議員会,06/03/2022,13:30,06/03/2022,16:30,False,"開催月日: 6月3日(金)
時間: 引き続き
会議名: (工)学院代議員会
主な審議事項: 学位論文審査，課程修了判定，大学院入試合格者決定(e3特別選抜)"
大学祭,06/03/2022,,06/06/2022,,True,"開催月日: 6月3日～6月5日
備考: 大学祭"
(化)代議員会議,06/08/2022,15:00,06/08/2022,18:00,False,"開催月日: 6月8日(水)
時間: 15:00
会議名: (化)代議員会議
主な審議事項: 学位論文審査，課程修了判定MC1年(4月入学)主任指導教員決定"
(工)学部代議員会,07/01/2022,13:30,07/01/2022,16:30,False,"開催月日: 7月1日(金)
時間: 13:30
会議名: (工)学部代議員会
主な審議事項: 編入学試験(特別選抜)合格者決定"
(工)研究院代議員会,07/01/2022,13:30,07/01/2022,16:30,False,"開催月日: 7月1日(金)
時間: 引き続き
会議名: (工)研究院代議員会
主な審議事項: 研究生の入学許可"
(工)学院代議員会,07/01/2022,13:30,07/01/2022,16:30,False,"開催月日: 7月1日(金)
時間: 引き続き
会議名: (工)学院代議員会
主な審議事項: 学位論文受理(課程9月・論博12月学位授与予定)"
(情)コース長会議,07/07/2022,13:30,07/07/2022,16:30,False,"開催月日: 7月7日(木)
時間: 13:30
会議名: (情)コース長会議
主な審議事項: 学位論文受理(課程9月・論博12月学位授与予定)"
(情)部門長会議,07/07/2022,13:30,07/07/2022,16:30,False,"開催月日: 7月7日(木)
時間: 引き続き
会議名: (情)部門長会議"
(化)代議員会議,07/06/2022,15:00,07/06/2022,18:00,False,"開催月日: 7月6日(水)
時間: 15:00
会議名: (化)代議員会議
主な審議事項: 学位論文受理(課程9月)"
(化)代議員会議,07/27/2022,15:00,07/27/2022,18:00,False,"開催月日: 7月27日(水)
時間: 15:00
会議名: (化)代議員会議
主な審議事項: AGS合格者決定"
(工)研究院代議員会,07/29/2022,13:30,07/29/2022,16:30,False,"開催月日: 7月29日(金)
時間: 13:30
会議名: (工)研究院代議員会"
(工)学院代議員会,07/29/2022,13:30,07/29/2022,16:30,False,"開催月日: 7月29日(金)
時間: 引き続き
会議名: (工)学院代議員会"
(情)コース長会議,08/31/2022,13:30,08/31/2022,16:30,False,"開催月日: 8月31日(水)
時間: 13:30
会議名: (情)コース長会議
主な審議事項: 学位論文審査，課程修了判定，大学院入試合格者決定，科目等履修生・聴講生の入学許可"
(情)部門長会議,08/31/2022,13:30,08/31/2022,16:30,False,"開催月日: 8月31日(水)
時間: 引き続き
会議名: (情)部門長会議
主な審議事項: 研究生の入学許可"
(化)代議員会議,08/31/2022,15:00,08/31/2022,18:00,False,"開催月日: 8月31日(水)
時間: 15:00
会議名: (化)代議員会議
主な審議事項: AGS募集要項(第2次)，学位論文審査，課程修了判定大学院入試合格者決定，研究生・科目等履修生・聴講生の入学許可"
(工)学部代議員会,09/09/2022,13:30,09/09/2022,16:30,False,"開催月日: 9月9日(金)
時間: 13:30
会議名: (工)学部代議員会
主な審議事項: 卒業者判定，編入学試験(一般選抜)及び学士入学試験合格者決定，研究生・科目等履修生・聴講生の入学許可"
(工)研究院代議員会,09/09/2022,13:30,09/09/2022,16:30,False,"開催月日: 9月9日(金)
時間: 引き続き
会議名: (工)研究院代議員会
主な審議事項: 学位論文審査，課程修了判定，大学院入試合格者決定，科目等履修生・聴講生の入学許可"
(工)学院代議員会,09/09/2022,13:30,09/09/2022,16:30,False,"開催月日: 9月9日(金)
時間: 引き続き
会議名: (工)学院代議員会
主な審議事項: 研究生の入学許可"
(情)学院教授会,10/06/2022,13:30,10/06/2022,16:30,False,"開催月日: 10月6日(木)
時間: 13:30
会議名: (情)学院教授会"
(情)研究院教授会,10/06/2022,13:30,10/06/2022,16:30,False,"開催月日: 10月6日(木)
時間: 引き続き
会議名: (情)研究院教授会"
(情)コース長会議,10/06/2022,13:30,10/06/2022,16:30,False,"開催月日: 10月6日(木)
時間: 引き続き
会議名: (情)コース長会議
主な審議事項: 学位論文受理(課程12月・論博3月学位授与予定)"
(情)部門長会議,10/06/2022,13:30,10/06/2022,16:30,False,"開催月日: 10月6日(木)
時間: 引き続き
会議名: (情)部門長会議"
(工)学部代議員会,10/07/2022,13:30,10/07/2022,16:30,False,"開催月日: 10月7日(金)
時間: 13:30
会議名: (工)学部代議員会"
(工)研究院代議員会,10/07/2022,13:30,10/07/2022,16:30,False,"開催月日: 10月7日(金)
時間: 引き続き
会議名: (工)研究院代議員会"
(工)学院代議員会,10/07/2022,13:30,10/07/2022,16:30,False,"開催月日: 10月7日(金)
時間: 引き続き
会議名: (工)学院代議員会
主な審議事項: 学位論文受理(課程12月・論博3月学位授与予定)"
(化)代議員会議,10/12/2022,15:00,10/12/2022,18:00,False,"開催月日: 10月12日(水)
時間: 15:00
会議名: (化)代議員会議
主な審議事項: 学位論文受理(課程12月)，募集要項(第2次)"
(情)コース長会議,11/10/2022,13:30,11/10/2022,16:30,False,"開催月日: 11月10日(木)
時間: 13:30
会議名: (情)コース長会議"
(情)部門長会議,11/10/2022,13:30,11/10/2022,16:30,False,"開催月日: 11月10日(木)
時間: 引き続き
会議名: (情)部門長会議"
(工)学部代議員会,11/04/2022,13:30,11/04/2022,16:30,False,"開催月日: 11月4日(金)
時間: 13:30
会議名: (工)学部代議員会"
(工)研究院代議員会,11/04/2022,13:30,11/04/2022,16:30,False,"開催月日: 11月4日(金)
時間: 引き続き
会議名: (工)研究院代議員会"
(工)学院代議員会,11/04/2022,13:30,11/04/2022,16:30,False,"開催月日: 11月4日(金)
時間: 引き続き
会議名: (工)学院代議員会"
(化)代議員会議,11/09/2022,15:00,11/09/2022,18:00,False,"開催月日: 11月9日(水)
時間: 15:00
会議名: (化)代議員会議
主な審議事項: DC1年(10月入学)主任指導教員・副指導教員決定MC2年(10月入学)副指導教員決定"
(情)学院教授会,12/01/2022,13:30,12/01/2022,16:30,False,"開催月日: 12月1日(木)
時間: 13:30
会議名: (情)学院教授会"
(情)研究院教授会,12/01/2022,13:30,12/01/2022,16:30,False,"開催月日: 12月1日(木)
時間: 引き続き
会議名: (情)研究院教授会"
(情)コース長会議,12/01/2022,13:30,12/01/2022,16:30,False,"開催月日: 12月1日(木)
時間: 引き続き
会議名: (情)コース長会議
主な審議事項: 学位論文審査，課程修了判定，学位論文受理(課程3月学位授与予定①)"
(情)部門長会議,12/01/2022,13:30,12/01/2022,16:30,False,"開催月日: 12月1日(木)
時間: 引き続き
会議名: (情)部門長会議"
(工)研究院教授会,12/02/2022,13:30,12/02/2022,16:30,False,"開催月日: 12月2日(金)
時間: 13:30
会議名: (工)研究院教授会
備考: 教授会懇親会"
(工)学院教授会,12/02/2022,13:30,12/02/2022,16:30,False,"開催月日: 12月2日(金)
時間: 引き続き
会議名: (工)学院教授会
備考: 教授会懇親会"
(工)学部代議員会,12/02/2022,14:30,12/02/2022,17:30,False,"開催月日: 12月2日(金)
時間: 14:30
会議名: (工)学部代議員会
主な審議事項: 卒業者判定
備考: 教授会懇親会"
(工)研究院代議員会,12/02/2022,14:30,12/02/2022,17:30,False,"開催月日: 12月2日(金)
時間: 引き続き
会議名: (工)研究院代議員会
備考: 教授会懇親会"
(工)学院代議員会,12/02/2022,14:30,12/02/2022,17:30,False,"開催月日: 12月2日(金)
時間: 引き続き
会議名: (工)学院代議員会
主な審議事項: 学位論文審査，課程修了判定，学位論文受理(課程3月学位授与予定①)，大学院2次入試合格者決定(e3特別選抜)
備考: 教授会懇親会"
(化)代議員会議,12/07/2022,15:00,12/07/2022,18:00,False,"開催月日: 12月7日(水)
時間: 15:00
会議名: (化)代議員会議
主な審議事項: 学位論文審査，課程修了判定，学位論文受理(課程3月学位授与予定①)MC1年(10月入学)主任指導教員決定"
(化)代議員会議,01/11/2023,15:00,01/11/2023,18:00,False,"開催月日: 令和5年1月11日(水)
時間: 15:00
会議名: (化)代議員会議
主な審議事項: 学位論文受理(課程3月学位授与予定②)"
(情)コース長会議,01/12/2023,13:30,01/12/2023,16:30,False,"開催月日: 1月12日(木)
時間: 13:30
会議名: (情)コース長会議
主な審議事項: 学位論文受理(課程3月②・論博6月学位授与予定)"
(情)部門長会議,01/12/2023,13:30,01/12/2023,16:30,False,"開催月日: 1月12日(木)
時間: 引き続き
会議名: (情)部門長会議"
(工)学部代議員会,01/13/2023,13:30,01/13/2023,16:30,False,"開催月日: 1月13日(金)
時間: 13:30
会議名: (工)学部代議員会
備考: Web開催"
(工)研究院代議員会,01/13/2023,13:30,01/13/2023,16:30,False,"開催月日: 1月13日(金)
時間: 引き続き
会議名: (工)研究院代議員会
主な審議事項: 研究生の入学許可
備考: Web開催"
(工)学院代議員会,01/13/2023,13:30,01/13/2023,16:30,False,"開催月日: 1月13日(金)
時間: 引き続き
会議名: (工)学院代議員会
主な審議事項: 学位論文受理(課程3月②・論博6月学位授与予定)
備考: Web開催"
大学入学共通テスト,01/14/2023,,01/16/2023,,True,"開催月日: 1月14日(土)～1月15日(日)
備考: 大学入学共通テスト"
(化)代議員会議,02/01/2023,15:00,02/01/2023,18:00,False,"開催月日: 2月1日(水)
時間: 15:00
会議名: (化)代議員会議
主な審議事項: AGS(第2次)合格者決定"
(情)研究院教授会,02/02/2023,13:30,02/02/2023,16:30,False,"開催月日: 2月2日(木)
時間: 13:30
会議名: (情)研究院教授会"
(情)学院教授会,02/02/2023,13:30,02/02/2023,16:30,False,"開催月日: 2月2日(木)
時間: 引き続き
会議名: (情)学院教授会"
(情)コース長会議,02/02/2023,13:30,02/02/2023,16:30,False,"開催月日: 2月2日(木)
時間: 引き続き
会議名: (情)コース長会議"
(情)部門長会議,02/02/2023,13:30,02/02/2023,16:30,False,"開催月日: 2月2日(木)
時間: 引き続き
会議名: (情)部門長会議
主な審議事項: 名誉教授の推薦"
(工)研究院教授会,02/03/2023,15:00,02/03/2023,18:00,False,"開催月日: 2月3日(金)
時間: 15:00
会議名: (工)研究院教授会
主な審議事項: 研究院長候補者選考"
(工)学院教授会,02/03/2023,15:00,02/03/2023,18:00,False,"開催月日: 2月3日(金)
時間: 引き続き
会議名: (工)学院教授会
主な審議事項: 学院長候補者選考"
(工)学部教授会,02/03/2023,15:00,02/03/2023,18:00,False,"開催月日: 2月3日(金)
時間: 引き続き
会議名: (工)学部教授会
主な審議事項: 工学部長，副工学部長，評議員候補者選考"
(工)学部代議員会,02/03/2023,15:00,02/03/2023,18:00,False,"開催月日: 2月3日(金)
時間: 引き続き
会議名: (工)学部代議員会"
(工)研究院代議員会,02/03/2023,15:00,02/03/2023,18:00,False,"開催月日: 2月3日(金)
時間: 引き続き
会議名: (工)研究院代議員会
主な審議事項: 名誉教授の推薦"
(工)学院代議員会,02/03/2023,15:00,02/03/2023,18:00,False,"開催月日: 2月3日(金)
時間: 引き続き
会議名: (工)学院代議員会"
(情)コース長会議,02/28/2023,13:30,02/28/2023,16:30,False,"開催月日: 2月28日(火)
時間: 13:30
会議名: (情)コース長会議
主な審議事項: 学位論文審査，課程修了判定，大学院2次入試合格者決定"
(情)部門長会議,02/28/2023,13:30,02/28/2023,16:30,False,"開催月日: 2月28日(火)
時間: 引き続き
会議名: (情)部門長会議"
(化)代議員会議,03/01/2023,15:00,03/01/2023,18:00,False,"開催月日: 3月1日(水)
時間: 15:00
会議名: (化)代議員会議
主な審議事項: 学位論文審査，課程修了判定"
(工)学部代議員会,03/03/2023,13:30,03/03/2023,16:30,False,"開催月日: 3月3日(金)
時間: 13:30
会議名: (工)学部代議員会
主な審議事項: 卒業者判定"
(工)研究院代議員会,03/03/2023,13:30,03/03/2023,16:30,False,"開催月日: 3月3日(金)
時間: 引き続き
会議名: (工)研究院代議員会"
(工)学院代議員会,03/03/2023,13:30,03/03/2023,16:30,False,"開催月日: 3月3日(金)
時間: 引き続き
会議名: (工)学院代議員会
主な審議事項: 学位論文審査，課程修了判定，大学院2次入試合格者決定"
(化)教授会,03/08/2023,15:00,03/08/2023,18:00,False,"開催月日: 3月8日(水)
時間: 15:00
会議名: (化)教授会"
(化)代議員会議,03/08/2023,15:00,03/08/2023,18:00,False,"開催月日: 3月8日(水)
時間: 引き続き
会議名: (化)代議員会議
主な審議事項: 大学院2次入試合格者決定，研究生・科目等履修生・聴講生等許可，募集要項(AGSを含む。)，国際連携総合化学プログラムの実施"
(工)学部教授会,03/13/2023,10:30,03/13/2023,13:30,False,"開催月日: 3月13日(月)
時間: 10:30
会議名: (工)学部教授会
主な審議事項: 年度計画の実施状況
備考: 教授会送別会"
(工)研究院教授会,03/13/2023,10:30,03/13/2023,13:30,False,"開催月日: 3月13日(月)
時間: 引き続き
会議名: (工)研究院教授会
主な審議事項: 年度計画の実施状況
備考: 教授会送別会"
(工)学院教授会,03/13/2023,10:30,03/13/2023,13:30,False,"開催月日: 3月13日(月)
時間: 引き続き
会議名: (工)学院教授会
主な審議事項: 年度計画の実施状況
備考: 教授会送別会"
(工)学部代議員会,03/13/2023,13:30,03/13/2023,16:30,False,"開催月日: 3月13日(月)
時間: 13:30
会議名: (工)学部代議員会
主な審議事項: コース分属決定，研究生・科目等履修生・聴講生等許可, 卒業者判定
備考: 教授会送別会"
(工)研究院代議員会,03/13/2023,13:30,03/13/2023,16:30,False,"開催月日: 3月13日(月)
時間: 引き続き
会議名: (工)研究院代議員会
主な審議事項: 研究生の入学許可
備考: 教授会送別会"
(工)学院代議員会,03/13/2023,13:30,03/13/2023,16:30,False,"開催月日: 3月13日(月)
時間: 引き続き
会議名: (工)学院代議員会
主な審議事項: 科目等履修生・聴講生等許可
備考: 教授会送別会"
(情)学院教授会,03/16/2023,13:30,03/16/2023,16:30,False,"開催月日: 3月16日(木)
時間: 13:30
会議名: (情)学院教授会"
(情)研究院教授会,03/16/2023,13:30,03/16/2023,16:30,False,"開催月日: 3月16日(木)
時間: 引き続き
会議名: (情)研究院教授会"
(情)コース長会議,03/16/2023,13:30,03/16/2023,16:30,False,"開催月日: 3月16日(木)
時間: 引き続き
会議名: (情)コース長会議
主な審議事項: 研究生・科目等履修生・聴講生等許可"
(情)部門長会議,03/16/2023,13:30,03/16/2023,16:30,False,"開催月日: 3月16日(木)
時間: 引き続き
会議名: (情)部門長会議"
